Country,Customer Request,Subject,Case ID,Description
UK,"[External email: Use caution with links and attachments] ________________________________ Rexel UK Limited Registered Office; Ground Floor Eagle Court 2,Hatchford Brook, Hatchford Way, Sheldon, Birmingham. B26 3RZ. Registered No. 434724 England Tel. +44(0)121 366 1000 https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.rexel.co.uk%2F&data=02%7C01%7Cgb-orders%40schneider-electric.com%7Cad282ff4acc0406e3adf08d7edb02d67%7C6e51e1adc54b4b39b5980ffe9ae68fef%7C0%7C0%7C637239213769404083&sdata=ir5JgR9S17CxzkubgUEJKzmMX46G2a4ElDdCr1AMUT4%3D&reserved=0 This email and its attachments are for the intended recipient only and may contain information that is confidential. If you are not the intended recipient then you should not read, copy, disclose, or otherwise use this message. If received in error please advise the sender by return e-mail or telephone and delete this communication from your system. Although we have taken steps to ensure that this e-mail and attachments are free from virus we advise that, in accordance with good computing practice, the recipient should ensure that they are actually virus free. This e-mail and its attachments are for the intended recipient only and may contain information that is confidential. If you are not the intended recipient then you should not read, copy, disclose, or otherwise use this message. If received in error please advise the sender by return e-mail or telephone and delete this communication from your system. Although we have taken steps to ensure that this e-mail and attachments are free from viruses we advise that, in accordance with good computing practice, the recipient should ensure that they are actually virus free. Our terms and conditions of sale apply to the sale of goods by us to the exclusion of all other terms. Our terms and conditions of purchase apply to the purchase of goods by us to the exclusion of all other terms. Our current terms applicable in the UK are available via our website at https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.rexel.co.uk%2Fterms.php&data=02%7C01%7Cgb-orders%40schneider-electric.com%7Cad282ff4acc0406e3adf08d7edb02d67%7C6e51e1adc54b4b39b5980ffe9ae68fef%7C0%7C0%7C637239213769404083&sdata=gixDpQmYtB0CJCG3bfmdllXwMV64bN%2Focvbapk0y1mY%3D&reserved=0 or, for the UK or anywhere else, from your usual contact. Rexel UK Limited Registered Number: 00434724 Registered Office: Eagle Court 2, Hatchford Way, Hatchford Brook, Sheldon, Birmingham, United Kingdom, B26 3RZ. M. Kelliher 1998 Ltd Registered in Ireland No. 273572 Registered Office: Ballymullen, Tralee, Co. Kerry, Ireland ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",**AMENDMENT** Purchase Order 3FR 7519878,5001H0000162Pec,Nothing
UK,"Connections Notifications Welcome /* Yahoo, AOL, Hotmail */ * { padding: 1px; } p { margin: 1.12em 0 } body, .body, th, td { font-family: 'Roboto', helvetica, sans-serif; line-height: 1.5em; font-size: 10pt; font-size: 1rem; color: #222222; } @media only screen and (max-width: 40em) { .fonty { font-size: 1em !important; } .extra { display: none; } } Bazaarvoice Connections Question Alert Respond to 1 New Question Can you put pictures up using tape Published on Screwfix • Tower Self-Adhesive Conduit Tape 16mm x 10m Respond to Question Login to Connections  |  Manage Alert Settings ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",SchneiderRetail_UK Alert: Answer Questions,5001H0000162Txh,Nothing
UK,"Hello Customer Services,   Please quote Max, in CC, for the attached.   Please respond directly to Max and not to this email address as he needs the quote asap.   This item is in your scope and would not meet our min order charge.   Kind Regards,   Katie Eaves Spares Co-Ordinator   PLEASE NOTE:-    - WE HAVE A MINIMUM £300 ORDER VALUE    - UNLESS OTHERWISE STATED IN ANY QUOTATION GOODS ARE EX-WORKS WITH STANDARD PACKING. EXPORT PACKING,     ADDITIONAL DOCUMENTS (CERTIFICATES OF ORIGIN ETC.) ARE NOT INCLUDED AND IF REQUESTED WILL BE CHARGEABLE. |   Schneider Electric   |  End User Business Group - Cities Business - Energy Division   |   United Kingdom   |   Spares Department Email: GB-edspares-services@schneider-electric.com   |   Site: www.schneider-electric.com   |   Address: 204 Cavendish Place, Birchwood, Warrington. WA3 6WU   Schneider Electric Limited is a company registered in England and Wales. Registered number: 1407228. Registered office: Stafford Park 5, Telford, Shropshire TF3 3BL. This message (and any associated files) is intended only for the use of the intended recipient and may contain information that is confidential, subject to copyright or constitutes a trade secret. If you are not the intended recipient you are hereby notified that any dissemination, copying or distribution of this message, or files associated with this message, is strictly prohibited. If you have received this message in error, please notify us immediately by replying to the message and deleting it from your computer. Any views or opinions presented are solely those of the author and do not necessarily represent those of the company. *** Please consider the environment before printing this e-mail   From: Max Scott <Max.Scott@basetek.co.uk> Sent: 30 April 2020 13:00 To: SM EUR GB-Edspares-Services <gb-edspares-services@gb.schneider-electric.com> Subject: Quotation Request 158814-1   [External email: Use caution with links and attachments]   Dear Katie, Please find attached a copy of our enquiry. We would be most grateful for your quotation before 02 May 2020, 15:00 GMT . If you have any difficulties reading this attachment, please contact us. Kind regards,   Max Scott Buyer Basetek Limited  +44 (0)1473 487909 |    +44 (0)1473 603602   Max.Scott@basetek.co.uk  |    www.basetek.co.uk     Awarded London Stock Exchange 1000 Companies to Inspire Britain 2017   Please be advised that we have relocated into a purpose built combined office and warehouse. Our new address is as follows; Ransomes Europark, 3 Lytham Road, Ipswich, Suffolk, IP39BL, United Kingdom.         If you have received this e-mail in error, please contact the sender and delete the material from your computer. Do not disclose the contents to another person, use it for any purpose or store or copy the information in any medium. All sales or purchases are subject to our terms and conditions. Registered in England and Wales with company number 3908736 Registered office 3 Lytham Road, Ransomes Europark, Ipswich, Suffolk, IP3 9BL ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",Non-technical: Quote for LRD10,5001H0000162UDD,Nothing
UK,"Oracle Workflow Notification (FYI) [External email: Use caution with links and attachments]   From   Myles, Hamish To   GB-Orders@schneider-electric.com Sent   01-MAY-20 07:16:58 ID   19537655 **This is an amendment to an existing Purchase Order. Please do not duplicate.** Please check this Purchase Order thoroughly to identify the amendments and process any requirements accordingly. Please note that the order may have been amended for administration purposes only in which instance there would be no requirement for you to take any further action. ****************************************************************** The information in this E-Mail is confidential and may be legally privileged. It may not represent the views of the SSE Group. It is intended solely for the addressees. Access to this E-Mail by anyone else is unauthorised. If you are not the intended recipient, any disclosure, copying, distribution or any action taken or omitted to be taken in reliance on it, is prohibited and may be unlawful. Any unauthorised recipient should advise the sender immediately of the error in transmission. Unless specifically stated otherwise, this email (or any attachments to it) is not an offer capable of acceptance or acceptance of an offer and it does not form part of a binding contractual agreement. SSE plc Registered Office: Inveralmond House 200 Dunkeld Road Perth PH1 3AQ Registered in Scotland No. SC117119 Authorised and regulated by the Financial Conduct Authority for certain consumer credit activities. www.sse.com ****************************************************************** ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________","For Your Information: SSE - Standard Purchase Order 1219025031, 4",5001H0000162UEk,Nothing
UK,[External email: Use caution with links and attachments] ________________________________ I am now adhering to the UK government advice on limiting social contact & am now at home with limited access to email. I will respond to all non essential messages on my return or if you require immediate assistance please email our sales manager Martin Simmonite on the address below. Stay safe. martin@ne-electrical.co.uk ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________,Response to COVID 19 pandemic,5001H0000162UPx,Nothing
UK,"[External email: Use caution with links and attachments]   The attached document has been sent from NE Electrical Wholesalers Ltd. Visit our website at www.ne-electrical.co.uk If you wish to contact us regarding the attached document, please reply to the relevant department listed below. For Sales Tel: 0114 2560640 sales@ne-electrical.co.uk Powered by QuantumVS ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",5491126 - Purchase Order 4009264 from N E Electrical Services,5001H0000162USv,Nothing
UK,"Please provide quotation on the attached.   Many thanks Andy     Andy Smith - Internal Sales T:  01483 453387 M: E: andy.smith@bew-elec.co.uk   BEW Electrical Distributors Ltd, Unit 4, Moorfield Centre, Moorfield Road, Slyfield Industrial Estate, Guildford Surrey, GU1 1RA Guildford Branch: T: 01483 453 387 F: 01483 456941 http://www.bewdirect.co.uk The information in this message is confidential. It is intended only for use of the named recipient. If you are not the intended recipient, please notify the sender immediately. You should not disclose the information to any person or take any copies. The use, dissemination or taking any action in reliance on the contents of this message is prohibited and unlawful. If you have received this e-mail in error, please return the original message to BEW ELECTRICAL DISTRIBUTORS LTD. By e-mail to enquiries@bew-elec.co.uk .   From: Frank Talbot <frank.talbot@bartonknight.co.uk> Sent: 30 April 2020 14:00 To: Andy Smith <andy.smith@bew-elec.co.uk> Cc: Melvyn Horton <melvyn.horton@bartonknight.co.uk> Subject: Silver Street Mains distribution   BEW Notice: This is an external e-mail. Do not open links or attachments unless you recognise the sender and know the content is safe.   Hi Andy Please can you send us a quotation for the main MCCB panel board and associated distribution boards as schematic attached these can be Hagar or equivalent Many Thanks   Kind regards   Frank Talbot Contracts Manager Barton Knight Group Tel: 0203 411 4950 Mobile: 07444 782 985 Email : frank.talbot@bartonknight.co.uk    www.bartonknight.co.uk   The Barton Knight group of companies. Confidentiality Statement: This email is intended for the addressee only and may contain information that is privileged and confidential. If you are not the intended recipient, you must not copy, distribute or take any action in reliance on it. If this email has been sent to you in error, please notify us immediately by telephone.   ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________",FW: Silver Street Mains distribution,5001H0000162UfL,Nothing
UK,Can you let Me have the Current Stock & Lead Times of the devices below please…. Needed asap this Morning.     Regards   Duncan Evans Central Regional Account Manager Central Sales Team Partner Projects Division Schneider Electric D   07772 985613 F   0870 608 8 606 Customer Care   0870 608 8 608 E   duncan.evans@se.com Stafford Park 5 Telford Shropshire TF3 3BL United Kingdom     *Please consider the environment before printing this e-mail                  ,Help Required Please ASAP,5001H0000162Ung,Nothing
UK,"Oracle Workflow Notification (FYI) [External email: Use caution with links and attachments]   From   Kata, Alexander To   Schneider Electric Ltd-Telford Sent   05/01/2020 01:43:05 ID   49880587 Your response and acknowledgement of this order are important to us. Please review the attached PO and e-mail your confirmation of this order to the buyer listed at the top of the PO. The sending mail box of this message is unattended and we will miss your response. ______________________________________________________________________ This email has been scanned by the Symantec Email Security.cloud service. ______________________________________________________________________","FYI: UK Powell Operating Unit - Standard Purchase Order 2039819, 0",5001H0000162UoU,Nothing
UK,"Please find attached PO reference: 4501784850 Please find transmitted herewith a copy of our purchase order Please confirm receipt of PO by return Schneider Electric Phone: +44(0)870 608 8 608 Fax: +44(0)8706088606 Site: http://www.schneider-electric.com/ Address: Stafford Park 5, Telford, Shropshire. TF3 3BL Disclaimer: Schneider Electric Limited is a company registered in England and Wales. Registered number: 1407228 Registered office: Stafford Park 5, Telford, Shropshire TF3 3BL This message (and any associated files) is intended only for the use of intended recipient and may contain information that is confidential, subject to copyright or constitutes a trade secret. If you are not the intended recipient you are hereby notified that any dissemination , copying or distribution of this message, or files associated with this message, is strictly prohibited. If you have received this message in error, please notify us immediately by replying to the message and deleting it from your computer. Any views or opinions presented are solely those of the author and do not necessarily represent those of the company. *** Please consider the environment before printing this e-mail *** Schneider Electric Terms and Conditions of Sale of Goods (Inclusive of erection) United Kingdom can be viewed by going to the Schneider Electric Public Web Site at https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.schneider-electric.co.uk%2F&data=02%7C01%7Cgb-myaccount%40schneider-electric.com%7C0e2affed6cb7470e1aea08d7ed9c1554%7C6e51e1adc54b4b39b5980ffe9ae68fef%7C0%7C0%7C637239127826888360&sdata=MPwGfsbTWu0RBc6E2vrnHy%2FN98djrpuJFB%2B8INI9rtI%3D&reserved=0 or the 'My Schneider Electric' web portal. These Terms and Conditions apply to all transactions, whether product or otherwise, and are binding unless otherwise agreed in writing at the point of order acceptance.",Schneider Electric Purchase Order 4501784850,5001H0000162Usf,Nothing
